0.7695909380474694{'learning_rate': 0.01, 'n_estimators': 20}
0.8849230978252688{'learning_rate': 0.01, 'n_estimators': 40}
0.9023765402916384{'learning_rate': 0.01, 'n_estimators': 60}
0.910190353758941{'learning_rate': 0.01, 'n_estimators': 80}
0.9139303784867157{'learning_rate': 0.01, 'n_estimators': 100}
0.9158249350639966{'learning_rate': 0.01, 'n_estimators': 120}
0.917169769000669{'learning_rate': 0.01, 'n_estimators': 140}
0.9183280969791283{'learning_rate': 0.01, 'n_estimators': 160}
0.9193784466067363{'learning_rate': 0.01, 'n_estimators': 180}
0.9198987151313386{'learning_rate': 0.01, 'n_estimators': 200}
0.9134002954565574{'learning_rate': 0.05, 'n_estimators': 20}
0.9196238516429878{'learning_rate': 0.05, 'n_estimators': 40}
0.922382241772113{'learning_rate': 0.05, 'n_estimators': 60}
0.9240117464758706{'learning_rate': 0.05, 'n_estimators': 80}
0.9245810947550741{'learning_rate': 0.05, 'n_estimators': 100}
0.9253762200229934{'learning_rate': 0.05, 'n_estimators': 120}
0.9259750156731694{'learning_rate': 0.05, 'n_estimators': 140}
0.9258572179988811{'learning_rate': 0.05, 'n_estimators': 160}
0.9259946456478574{'learning_rate': 0.05, 'n_estimators': 180}
0.9262891386291081{'learning_rate': 0.05, 'n_estimators': 200}
0.9177980226211562{'learning_rate': 0.1, 'n_estimators': 20}
0.9219699694245221{'learning_rate': 0.1, 'n_estimators': 40}
0.922107403336744{'learning_rate': 0.1, 'n_estimators': 60}
0.9229319711577549{'learning_rate': 0.1, 'n_estimators': 80}
0.9221761096935165{'learning_rate': 0.1, 'n_estimators': 100}
0.9216754754796954{'learning_rate': 0.1, 'n_estimators': 120}
0.921204289118635{'learning_rate': 0.1, 'n_estimators': 140}
0.9208607110831138{'learning_rate': 0.1, 'n_estimators': 160}
0.9205662253286848{'learning_rate': 0.1, 'n_estimators': 180}
0.9203993445272787{'learning_rate': 0.1, 'n_estimators': 200}
0.9182004963621987{'learning_rate': 0.2, 'n_estimators': 20}
0.9184262675694572{'learning_rate': 0.2, 'n_estimators': 40}
0.9156580499264972{'learning_rate': 0.2, 'n_estimators': 60}
0.9149316401693245{'learning_rate': 0.2, 'n_estimators': 80}
0.9147942496180324{'learning_rate': 0.2, 'n_estimators': 100}
0.915314510915813{'learning_rate': 0.2, 'n_estimators': 120}
0.9142740085553523{'learning_rate': 0.2, 'n_estimators': 140}
0.914008956681829{'learning_rate': 0.2, 'n_estimators': 160}
0.9135672335907487{'learning_rate': 0.2, 'n_estimators': 180}
0.9127819151197756{'learning_rate': 0.2, 'n_estimators': 200}
