0.802760337034871{'learning_rate': 0.01, 'n_estimators': 20}
0.9086786216764902{'learning_rate': 0.01, 'n_estimators': 40}
0.9281836966517535{'learning_rate': 0.01, 'n_estimators': 60}
0.933886991058615{'learning_rate': 0.01, 'n_estimators': 80}
0.9354477894055998{'learning_rate': 0.01, 'n_estimators': 100}
0.9366159309260389{'learning_rate': 0.01, 'n_estimators': 120}
0.9371951019011961{'learning_rate': 0.01, 'n_estimators': 140}
0.9377938999603126{'learning_rate': 0.01, 'n_estimators': 160}
0.9381865543779181{'learning_rate': 0.01, 'n_estimators': 180}
0.9387657186080419{'learning_rate': 0.01, 'n_estimators': 200}
0.9351827510221435{'learning_rate': 0.05, 'n_estimators': 20}
0.9385104860579554{'learning_rate': 0.05, 'n_estimators': 40}
0.9396295478237932{'learning_rate': 0.05, 'n_estimators': 60}
0.9402577913267299{'learning_rate': 0.05, 'n_estimators': 80}
0.9407387936387106{'learning_rate': 0.05, 'n_estimators': 100}
0.9408075096312454{'learning_rate': 0.05, 'n_estimators': 120}
0.941131447574528{'learning_rate': 0.05, 'n_estimators': 140}
0.9412001635670627{'learning_rate': 0.05, 'n_estimators': 160}
0.9411412683433295{'learning_rate': 0.05, 'n_estimators': 180}
0.9412492471759689{'learning_rate': 0.05, 'n_estimators': 200}
0.9366061246108808{'learning_rate': 0.1, 'n_estimators': 20}
0.9371951125005344{'learning_rate': 0.1, 'n_estimators': 40}
0.9368711562493036{'learning_rate': 0.1, 'n_estimators': 60}
0.9370085906433137{'learning_rate': 0.1, 'n_estimators': 80}
0.9372441821375854{'learning_rate': 0.1, 'n_estimators': 100}
0.9370085853436445{'learning_rate': 0.1, 'n_estimators': 120}
0.9373619817390264{'learning_rate': 0.1, 'n_estimators': 140}
0.936233093904718{'learning_rate': 0.1, 'n_estimators': 160}
0.9353299825773375{'learning_rate': 0.1, 'n_estimators': 180}
0.9366944647966463{'learning_rate': 0.1, 'n_estimators': 200}
0.9307751920076169{'learning_rate': 0.2, 'n_estimators': 20}
0.9313347257812644{'learning_rate': 0.2, 'n_estimators': 40}
0.9300684127069205{'learning_rate': 0.2, 'n_estimators': 60}
0.9282622030604385{'learning_rate': 0.2, 'n_estimators': 80}
0.9267112240368904{'learning_rate': 0.2, 'n_estimators': 100}
0.9247086929630631{'learning_rate': 0.2, 'n_estimators': 120}
0.9242669708355591{'learning_rate': 0.2, 'n_estimators': 140}
0.9230301234401358{'learning_rate': 0.2, 'n_estimators': 160}
0.9230202959263009{'learning_rate': 0.2, 'n_estimators': 180}
0.9228141387947227{'learning_rate': 0.2, 'n_estimators': 200}
