0.8926356187764444{'learning_rate': 0.01, 'n_estimators': 20}
0.895955837684889{'learning_rate': 0.01, 'n_estimators': 40}
0.8981130633338157{'learning_rate': 0.01, 'n_estimators': 60}
0.8990160864712914{'learning_rate': 0.01, 'n_estimators': 80}
0.9001608347811665{'learning_rate': 0.01, 'n_estimators': 100}
0.9007218115756815{'learning_rate': 0.01, 'n_estimators': 120}
0.9015290654978372{'learning_rate': 0.01, 'n_estimators': 140}
0.9020535529130758{'learning_rate': 0.01, 'n_estimators': 160}
0.902532432270285{'learning_rate': 0.01, 'n_estimators': 180}
0.9033579258379868{'learning_rate': 0.01, 'n_estimators': 200}
0.8998689504275121{'learning_rate': 0.05, 'n_estimators': 20}
0.9033305597135458{'learning_rate': 0.05, 'n_estimators': 40}
0.9060806858527725{'learning_rate': 0.05, 'n_estimators': 60}
0.9080418100916162{'learning_rate': 0.05, 'n_estimators': 80}
0.9098615462409129{'learning_rate': 0.05, 'n_estimators': 100}
0.9110655834349964{'learning_rate': 0.05, 'n_estimators': 120}
0.9125660694182034{'learning_rate': 0.05, 'n_estimators': 140}
0.9138111518988774{'learning_rate': 0.05, 'n_estimators': 160}
0.9154028517101009{'learning_rate': 0.05, 'n_estimators': 180}
0.9166844196179793{'learning_rate': 0.05, 'n_estimators': 200}
0.9035494776848726{'learning_rate': 0.1, 'n_estimators': 20}
0.90808741513359{'learning_rate': 0.1, 'n_estimators': 40}
0.9110929526794944{'learning_rate': 0.1, 'n_estimators': 60}
0.9135648785153057{'learning_rate': 0.1, 'n_estimators': 80}
0.9159501480944441{'learning_rate': 0.1, 'n_estimators': 100}
0.9186181753403382{'learning_rate': 0.1, 'n_estimators': 120}
0.9205108799520003{'learning_rate': 0.1, 'n_estimators': 140}
0.9223032515368844{'learning_rate': 0.1, 'n_estimators': 160}
0.9240272103587126{'learning_rate': 0.1, 'n_estimators': 180}
0.9254820863078544{'learning_rate': 0.1, 'n_estimators': 200}
0.9066553473215379{'learning_rate': 0.2, 'n_estimators': 20}
0.9124018843197703{'learning_rate': 0.2, 'n_estimators': 40}
0.9171176931011997{'learning_rate': 0.2, 'n_estimators': 60}
0.9209532762740489{'learning_rate': 0.2, 'n_estimators': 80}
0.9238584689369584{'learning_rate': 0.2, 'n_estimators': 100}
0.9088218943489232{'learning_rate': 0.2, 'n_estimators': 120}
0.9163561829595551{'learning_rate': 0.2, 'n_estimators': 140}
0.9074582997250321{'learning_rate': 0.2, 'n_estimators': 160}
0.9032214433101473{'learning_rate': 0.2, 'n_estimators': 180}
0.90140630768498{'learning_rate': 0.2, 'n_estimators': 200}
