0.9161592404461242{'learning_rate': 0.01, 'n_estimators': 20}
0.9176616373935426{'learning_rate': 0.01, 'n_estimators': 40}
0.9185823029500503{'learning_rate': 0.01, 'n_estimators': 60}
0.9192803877074629{'learning_rate': 0.01, 'n_estimators': 80}
0.9202415175916187{'learning_rate': 0.01, 'n_estimators': 100}
0.9208839564775306{'learning_rate': 0.01, 'n_estimators': 120}
0.9217843848802417{'learning_rate': 0.01, 'n_estimators': 140}
0.9222396591057477{'learning_rate': 0.01, 'n_estimators': 160}
0.9228416311050511{'learning_rate': 0.01, 'n_estimators': 180}
0.9233576070678975{'learning_rate': 0.01, 'n_estimators': 200}
0.9203578648166161{'learning_rate': 0.05, 'n_estimators': 20}
0.9233980763855181{'learning_rate': 0.05, 'n_estimators': 40}
0.9253962213542435{'learning_rate': 0.05, 'n_estimators': 60}
0.9268075657596248{'learning_rate': 0.05, 'n_estimators': 80}
0.9277585766190641{'learning_rate': 0.05, 'n_estimators': 100}
0.9288512272113453{'learning_rate': 0.05, 'n_estimators': 120}
0.9297263576044476{'learning_rate': 0.05, 'n_estimators': 140}
0.9302473890492896{'learning_rate': 0.05, 'n_estimators': 160}
0.9310112305142466{'learning_rate': 0.05, 'n_estimators': 180}
0.9317700144500396{'learning_rate': 0.05, 'n_estimators': 200}
0.923671237338277{'learning_rate': 0.1, 'n_estimators': 20}
0.9268025078466169{'learning_rate': 0.1, 'n_estimators': 40}
0.9287804061933922{'learning_rate': 0.1, 'n_estimators': 60}
0.9306014876137059{'learning_rate': 0.1, 'n_estimators': 80}
0.9318711855050006{'learning_rate': 0.1, 'n_estimators': 100}
0.9332976998109656{'learning_rate': 0.1, 'n_estimators': 120}
0.9344055247820107{'learning_rate': 0.1, 'n_estimators': 140}
0.9356094650701252{'learning_rate': 0.1, 'n_estimators': 160}
0.9366363558841098{'learning_rate': 0.1, 'n_estimators': 180}
0.9376278333742614{'learning_rate': 0.1, 'n_estimators': 200}
0.9265546344117294{'learning_rate': 0.2, 'n_estimators': 20}
0.9294734260006561{'learning_rate': 0.2, 'n_estimators': 40}
0.9316233139893335{'learning_rate': 0.2, 'n_estimators': 60}
0.9339755476704775{'learning_rate': 0.2, 'n_estimators': 80}
0.9360040289857734{'learning_rate': 0.2, 'n_estimators': 100}
0.8850542903134538{'learning_rate': 0.2, 'n_estimators': 120}
0.9032347349035339{'learning_rate': 0.2, 'n_estimators': 140}
0.9046309001960747{'learning_rate': 0.2, 'n_estimators': 160}
0.9057741377232645{'learning_rate': 0.2, 'n_estimators': 180}
0.9072006533087096{'learning_rate': 0.2, 'n_estimators': 200}
